Group,Score
SUBJECTIVE RANDOM,48
SUBJECTIVE RANDOM,58
SUBJECTIVE RANDOM,56
SUBJECTIVE RANDOM,60
SUBJECTIVE RANDOM,72
SUBJECTIVE RANDOM,55
SUBJECTIVE RANDOM,46
SUBJECTIVE RANDOM,60
SUBJECTIVE RANDOM,60
SUBJECTIVE RANDOM,52
SUBJECTIVE RANDOM,56
SUBJECTIVE RANDOM,36
SUBJECTIVE RANDOM,62
SUBJECTIVE RANDOM,48
SUBJECTIVE RANDOM,54
SUBJECTIVE RANDOM,68
SUBJECTIVE RANDOM,48
SUBJECTIVE RANDOM,50
SUBJECTIVE RANDOM,54
SUBJECTIVE RANDOM,50
TRUE RANDOM,54
TRUE RANDOM,48
TRUE RANDOM,46
TRUE RANDOM,42
TRUE RANDOM,40
TRUE RANDOM,38
TRUE RANDOM,50
TRUE RANDOM,60
TRUE RANDOM,46
TRUE RANDOM,54
TRUE RANDOM,42
TRUE RANDOM,52
TRUE RANDOM,48
TRUE RANDOM,42
TRUE RANDOM,52
TRUE RANDOM,58
TRUE RANDOM,46
TRUE RANDOM,48
TRUE RANDOM,38
TRUE RANDOM,40
TRUE RANDOM,58
TRUE RANDOM,54
TRUE RANDOM,48
TRUE RANDOM,52
