"age","gender","smu","rsm","ect","pc"
64,0,24.82421533,41.01881618,17.81688971,15.27356386
81,0,17.58040556,45.31633038,14.52861062,18.01522147
67,0,30.89201905,46.21940042,17.36508164,9.807414066
63,0,12.49082958,42.54467152,17.59219592,18.12023845
54,1,24.02393177,41.56891745,12.16890386,3.710833615
58,1,9.794089723,45.16734035,17.66461692,23.20198495
50,0,25.64711803,41.93134368,13.85379898,9.254270353
63,0,18.9896528,50.4714786,19.75615913,25.00351703
63,1,18.03620483,45.780045,16.45159334,22.15975096
43,0,31.1914861,40.59309204,16.27558197,7.025629192
53,0,27.37725927,48.6169394,19.31763207,20.79909167
67,1,17.93642378,44.72554754,17.88772014,8.804818533
59,1,10.45438879,49.6336784,14.96941726,19.1550218
57,0,18.32739068,47.35583558,17.31801272,16.0006171
49,0,14.17735463,43.2010278,16.56629541,20.35249074
43,1,19.84450484,40.73246321,14.76955603,19.29170806
63,1,11.84106305,47.41419943,15.45777243,29.23794517
72,0,15.5835737,42.23762621,16.29362791,24.9806871
48,0,25.69203068,46.70429574,15.77512529,16.83671427
67,1,5.8459721,47.31277096,20.33185755,22.10503199
65,1,14.72152547,54.50084578,16.91987947,22.61316572
79,1,14.95542024,43.39652388,17.02668674,15.97359441
86,1,0.390362303,45.26598754,16.30830837,42.59235196
64,1,17.49167694,45.99314422,17.15339123,18.47601363
57,0,17.41456993,44.53121758,16.24325508,25.01575516
56,1,8.818883181,40.53559948,15.00867998,18.8518412
42,1,25.94391203,44.93464439,15.19286738,20.21551006
66,1,14.98943675,37.50145335,18.31333799,18.33860808
43,1,25.57250737,53.67809733,19.31306307,23.30455949
62,0,13.15242666,44.91242611,19.88382846,24.42079334
71,1,22.66734875,45.11879638,16.60069852,34.32337187
52,0,25.83822146,49.44220701,19.58532294,17.34294596
58,0,24.7650595,45.15157079,23.78374418,11.78606471
58,1,19.45986152,42.44972328,14.55497535,22.66229152
80,0,11.78467864,38.24756803,16.04920072,11.69861897
59,0,11.51440328,48.91856127,18.38985468,29.05135992
70,1,6.865704391,42.32702884,13.97246695,28.43362304
85,0,13.16997538,49.04147239,18.9967174,21.9732944
51,1,8.127936034,40.93432682,16.22467084,13.36466635
70,0,12.79388458,50.78793523,21.24121968,25.56087559
74,1,5.574581695,44.33148987,19.10089563,16.68239734
32,1,29.0632921,50.92146423,18.45143869,3.283860834
52,0,24.88326917,45.86759595,15.85840205,22.45683889
52,1,10.58574079,42.18387697,20.33410726,18.25204329
54,0,22.09149706,40.21954662,15.23125059,28.6491485
60,1,0.327395992,46.22026509,17.7825445,11.03804859
51,0,8.404298318,46.46572638,15.06513923,20.59528184
53,0,17.03306245,53.60774173,14.0165548,14.79846592
61,1,6.491340695,45.02315265,18.46967683,26.03020432
90,0,18.15679085,39.96292036,14.49872929,25.56787456
53,0,23.20683777,44.30326605,17.90117008,25.00286652
37,0,19.8296793,43.18552041,17.64327582,2.828776134
59,0,20.2101898,41.28177958,17.0722349,17.62617243
74,1,10.3657844,39.69324569,15.96263227,21.22055433
54,1,17.0262957,39.45130745,15.85273901,6.736214215
66,0,5.770076543,46.15201204,21.6089162,24.23788784
72,0,10.02957915,37.02509496,16.49349608,23.13195261
66,1,9.715283726,41.66615462,19.72636682,24.0481622
74,0,15.88979441,49.9740211,18.43781937,17.98064822
77,1,0.025601016,45.85752375,17.93336696,16.03023686
61,0,17.01731566,50.67666642,18.24268324,20.48403822
67,0,17.68070668,49.45442258,21.72564729,26.97278954
62,1,14.23540092,43.40886536,17.03394349,5.754490747
64,0,6.650891494,45.39060494,20.28446976,24.00295929
51,0,18.58264482,40.21498437,14.89719289,11.00788946
60,1,15.52255721,44.39049815,19.1325873,35.8424642
58,0,33.57570583,45.86025734,15.98443542,19.19620679
55,1,12.59158888,49.3227924,15.30504479,18.86661139
49,0,30.53109861,43.38625521,19.67520349,26.49967092
46,1,13.02515324,49.50734193,17.75274916,9.170585725
43,0,15.33262858,38.39679837,19.5965853,7.168712224
57,1,23.82133329,47.77050646,18.46222338,23.53818701
41,1,25.71566774,46.13788651,17.65098265,25.49881428
73,0,19.2995102,42.56267785,17.05250547,19.03369838
70,0,9.041353094,46.24652437,16.70060528,28.5983885
55,0,23.54102627,55.06066473,20.50334863,21.97654559
58,1,24.40384875,38.00701303,16.80346592,24.85737035
67,0,13.58820453,50.62155517,22.61835253,19.38184355
45,0,44.14458782,49.5791974,19.19243366,21.04965083
52,1,26.69723122,49.52733671,15.77885999,26.6355305
61,1,23.33064753,46.91268751,16.10861397,22.24778546
62,0,11.8501439,42.92438186,17.24061594,14.22517874
63,1,14.7225029,40.57891996,18.10536863,25.5366105
62,1,25.95731065,40.49090381,16.68629173,14.64688532
47,0,24.59287633,41.30521463,16.27773822,23.84564315
43,0,33.4707537,49.50923408,18.36898654,17.73575261
64,0,20.12611193,49.14942806,13.80239903,12.10174992
59,1,23.87826667,46.90038865,19.27275595,17.31923634
49,0,9.446562055,49.62319373,17.43798414,30.26712492
67,0,18.53191491,44.39230305,17.75440895,27.36942606
50,0,13.52918529,49.3259158,19.36298821,20.5405095
49,1,27.00327698,43.61212574,13.72240304,9.833323699
50,0,28.04323568,45.14771294,21.83809544,23.59195764
68,1,16.16328375,43.97540445,15.15064454,14.20820673
50,0,32.26005895,48.53011798,18.53340919,17.32023123
43,1,40.87894346,50.86313155,16.2467746,7.121639558
51,0,22.7492047,41.85121425,17.37583587,22.74745097
51,0,20.42185579,54.61132514,17.4085135,7.786892909
68,1,21.27109252,38.26508117,16.68114658,17.28475977
63,1,7.273146664,50.58552193,16.63212959,39.06037301
44,0,16.88037076,40.82403201,15.94947216,14.04747219
60,1,17.28482701,46.94138198,18.95200618,11.57599365
47,1,24.98311821,46.96114493,17.37498605,11.24160052
59,0,16.72857659,41.52544841,15.20718205,22.01633256
75,0,21.48810243,49.03988848,16.86224422,40.83023425
44,1,22.10965454,52.5195421,17.60940198,16.86756472
67,0,7.096147434,48.84684016,23.14052409,28.62027801
62,1,21.08249189,40.31653562,14.87810469,31.10585022
55,1,13.72678516,44.80369704,15.90894778,11.60426879
71,0,12.77617793,46.21905312,19.3332515,19.58781177
