VRuse,gameHours,Task1,Task2,Task3
2,5,57.0077240071608,42.8335047283846,51.0777100833435
1,7,57.1008854402014,23.2602490851519,49.6624867937256
2,5,60.1024784387185,21.3207643605413,23.3086431824972
1,10,20.3310192053518,43.2189909348074,33.0332551932501
1,7,55.1314272126792,35.3339767771357,34.5446201503306
2,0,20.9206119627473,12.9749714728428,40.823583859475
2,5,39.4330057608727,29.4738704206391,67.8366596905639
1,9,52.0894270586955,50.998521404002,44.7001194985181
1,11,23.1210843811383,61.4027064915252,64.7013479988769
2,3,68.9332478778552,30.9414659328547,36.5410795544745
1,10,56.6893896988746,52.2986354159793,54.0631680926809
1,10,39.3903361009501,32.6801622205627,54.0292772170176
1,7,41.6691285327118,35.4172039447924,62.1621099950271
2,2,38.8988539531483,19.0213862801679,24.4643548066137
1,10,40.2680802438178,38.6860327639327,44.4543868365815
1,8,76.712328657404,31.7112074615024,39.6965797576051
1,14,45.9160936533319,62.8869981783963,55.493085080555
1,12,65.7545817597044,52.6632538295841,55.508149149686
1,14,54.7859707738482,71.5748651163082,49.4917374799127
2,1,77.7473899152094,32.0470971065985,50.1281462104758
1,13,64.1638058437768,71.4760781780261,60.964974623649
1,11,40.6346296000362,53.6011333514392,57.3960845036247
1,11,51.9844970164805,57.7738992546656,59.1685684127592
2,4,49.4337878025551,25.981794557728,28.0556820092115
2,5,60.3448914275106,38.8398199794896,26.4386723945896
1,7,67.0301802274674,41.2310373800055,46.8859850360928
1,9,63.3640492246321,50.2532267359217,27.5818937291417
1,15,51.5601972379349,66.0953874625916,69.6747581350942
1,11,36.0642300084695,54.7543120408245,49.2802616497521
2,0,57.5117715638968,13.506831762489,26.1507436334369
1,8,62.6724707691488,43.5626984216654,35.2617396010233
2,4,62.1830877294444,27.1174977371762,43.9598360280649
1,12,43.9537331398274,42.9914114782253,65.9765925767727
2,3,50.1679276002651,23.2587850278702,27.3651561091193
2,0,57.8498630989701,31.3647322001668,50.3893228740604
2,1,27.764173016892,22.2943682480206,33.9287962738924
1,9,57.3211046729094,50.0943741124162,35.0602488039147
1,6,59.6716418894411,48.5525010328889,38.3767224307271
2,0,69.5931928210425,29.3649206557061,16.0821809164906
1,12,23.2302532004784,48.0003457059155,76.669952297529
